District,School,School Type,Overall Points,Overall Possible,Grade,All Students Participation,Below Proficient Participation,Growth ELA All Students,Growth ELA All Students Possible,Growth Math All Students,Growth Math All Students Possible,Growth Science All Students,Growth Science All Students Possible,Growth ELA Below Proficient,Growth ELA Below Proficient Possible,Growth Math Below Proficient,Growth Math Below Proficient Possible,Growth Science Below Proficient,Growth Science Below Proficient Possible,ELA Proficient,ELA Proficient Possible,Math Proficient,Math Proficient Possible,Science Proficient,Science Proficient Possible,College Career Readiness GRAD,College Career Readiness GRAD Possible,Number of Students Meeting All Four CCR Benchmarks ACT,College Career Readiness ACT Possible
CANYONS DISTRICT,HILLCREST HIGH,High School Report,467,900,B,98.65%,95.74%,30,50,32,50,30,50,27,50,24,50,29,50,44,100,32,100,43,100,120,150,56,150
CANYONS DISTRICT,INDIAN HILLS MIDDLE,Elem/Middle/Jr High School,391,600,A,99.6%,98.67%,35,50,35,50,38,50,38,50,33,50,41,50,57,100,51,100,63,100,NA,NA,NA,NA
CANYONS DISTRICT,JORDAN HIGH,High School Report,438,900,C,99.22%,98.5%,28,50,31,50,28,50,31,50,32,50,33,50,39,100,26,100,33,100,119,150,38,150
CANYONS DISTRICT,JORDAN VALLEY SCHOOL,Elem/Middle/Jr High School,211,600,D,100%,100%,30,100,30,100,20,100,NA,NA,NA,NA,NA,NA,48,100,45,100,38,100,NA,NA,NA,NA
CANYONS DISTRICT,JORDAN VALLEY SCHOOL,High School Report,0,0,,100%,100%,42,100,47,100,37,100,NA,NA,NA,NA,NA,NA,63,100,42,100,53,100,NA,NA,NA,NA
CANYONS DISTRICT,LONE PEAK SCHOOL,Elem/Middle/Jr High School,357,600,B,100%,100%,34,50,29,50,24,50,41,50,30,50,33,50,53,100,53,100,60,100,NA,NA,NA,NA
CANYONS DISTRICT,MIDVALE MIDDLE,Elem/Middle/Jr High School,296,600,C,99.73%,99.74%,31,50,29,50,33,50,26,50,24,50,28,50,43,100,39,100,43,100,NA,NA,NA,NA
CANYONS DISTRICT,MIDVALE SCHOOL,Elem/Middle/Jr High School,206,600,D,100%,100%,24,50,16,50,36,50,26,50,19,50,34,50,21,100,20,100,10,100,NA,NA,NA,NA
CANYONS DISTRICT,MIDVALLEY SCHOOL,Elem/Middle/Jr High School,279,600,C,100%,100%,31,50,29,50,26,50,31,50,23,50,30,50,35,100,35,100,39,100,NA,NA,NA,NA
CANYONS DISTRICT,MOUNT JORDAN MIDDLE,Elem/Middle/Jr High School,253,600,C,99.13%,97.47%,28,50,28,50,24,50,23,50,29,50,27,50,35,100,28,100,31,100,NA,NA,NA,NA
CANYONS DISTRICT,OAK HOLLOW SCHOOL,Elem/Middle/Jr High School,345,600,B,100%,100%,34,50,31,50,25,50,30,50,33,50,29,50,56,100,50,100,57,100,NA,NA,NA,NA
CANYONS DISTRICT,OAKDALE SCHOOL,Elem/Middle/Jr High School,306,600,B,100%,100%,36,50,34,50,30,50,30,50,24,50,26,50,47,100,42,100,37,100,NA,NA,NA,NA
CANYONS DISTRICT,PARK LANE SCHOOL,Elem/Middle/Jr High School,356,600,B,100%,100%,34,50,39,50,35,50,29,50,31,50,26,50,56,100,55,100,51,100,NA,NA,NA,NA
CANYONS DISTRICT,PERUVIAN PARK SCHOOL,Elem/Middle/Jr High School,381,600,A,99.73%,100%,34,50,34,50,33,50,30,50,33,50,35,50,61,100,63,100,58,100,NA,NA,NA,NA
CANYONS DISTRICT,QUAIL HOLLOW SCHOOL,Elem/Middle/Jr High School,380,600,B,100%,100%,36,50,32,50,28,50,20,50,30,50,30,50,71,100,67,100,66,100,NA,NA,NA,NA
CANYONS DISTRICT,RIDGECREST SCHOOL,Elem/Middle/Jr High School,316,600,B,100%,100%,34,50,30,50,23,50,31,50,27,50,29,50,50,100,51,100,41,100,NA,NA,NA,NA
CANYONS DISTRICT,SANDY SCHOOL,Elem/Middle/Jr High School,333,600,B,100%,100%,31,50,37,50,42,50,33,50,39,50,38,50,37,100,34,100,42,100,NA,NA,NA,NA
CANYONS DISTRICT,SILVER MESA SCHOOL,Elem/Middle/Jr High School,409,600,A,100%,100%,40,50,37,50,38,50,34,50,39,50,45,50,61,100,52,100,63,100,NA,NA,NA,NA
CANYONS DISTRICT,SPRUCEWOOD SCHOOL,Elem/Middle/Jr High School,381,600,A,99.73%,100%,41,50,38,50,29,50,42,50,34,50,29,50,58,100,53,100,57,100,NA,NA,NA,NA
CANYONS DISTRICT,SUNRISE SCHOOL,Elem/Middle/Jr High School,429,600,A,100%,100%,36,50,40,50,38,50,38,50,39,50,35,50,68,100,65,100,70,100,NA,NA,NA,NA
CANYONS DISTRICT,UNION MIDDLE,Elem/Middle/Jr High School,318,600,B,99.55%,99.27%,33,50,32,50,32,50,34,50,30,50,31,50,41,100,39,100,46,100,NA,NA,NA,NA
CANYONS DISTRICT,WILLOW CANYON SCHOOL,Elem/Middle/Jr High School,423,600,A,100%,100%,39,50,37,50,26,50,48,75,70,75,NA,NA,70,100,66,100,67,100,NA,NA,NA,NA
CANYONS DISTRICT,WILLOW SPRINGS SCHOOL,Elem/Middle/Jr High School,405,600,A,100%,100%,37,50,32,50,30,50,38,50,38,50,42,50,70,100,58,100,60,100,NA,NA,NA,NA
CARBON DISTRICT,BRUIN POINT SCHOOL,Elem/Middle/Jr High School,351,600,B,100%,100%,36,50,38,50,26,50,115,150,NA,NA,NA,NA,36,100,39,100,61,100,NA,NA,NA,NA
CARBON DISTRICT,CARBON HIGH,High School Report,522,900,B,99.75%,100%,37,50,38,50,38,50,35,50,38,50,43,50,43,100,24,100,54,100,147,150,25,150
CARBON DISTRICT,CASTLE HEIGHTS SCHOOL,Elem/Middle/Jr High School,234,600,C,98.71%,96.61%,27,50,18,50,14,50,27,50,11,50,15,50,40,100,43,100,39,100,NA,NA,NA,NA
CARBON DISTRICT,CREEKVIEW SCHOOL,Elem/Middle/Jr High School,273,600,C,99.74%,100%,26,50,21,50,34,50,24,50,24,50,34,50,39,100,30,100,41,100,NA,NA,NA,NA
CARBON DISTRICT,HELPER MIDDLE,Elem/Middle/Jr High School,222,600,D,99.82%,100%,28,50,13,50,22,50,29,50,9,50,34,50,30,100,18,100,39,100,NA,NA,NA,NA
CARBON DISTRICT,MONT HARMON MIDDLE,Elem/Middle/Jr High School,217,600,D,98.77%,98.88%,25,50,21,50,16,50,31,50,22,50,15,50,28,100,30,100,29,100,NA,NA,NA,NA
CARBON DISTRICT,SALLY MAURO SCHOOL,Elem/Middle/Jr High School,304,600,B,97.42%,98.48%,34,50,22,50,36,50,35,50,23,50,29,50,44,100,33,100,48,100,NA,NA,NA,NA
CARBON DISTRICT,WELLINGTON SCHOOL,Elem/Middle/Jr High School,327,600,B,99.79%,100%,38,50,32,50,26,50,32,50,40,50,28,50,47,100,39,100,45,100,NA,NA,NA,NA
CHANNING HALL,CHANNING HALL,Elem/Middle/Jr High School,315,600,B,100%,100%,31,50,28,50,32,50,27,50,33,50,29,50,50,100,42,100,43,100,NA,NA,NA,NA
CITY ACADEMY,CITY ACADEMY,High School Report,422,900,C,99.78%,100%,31,50,30,50,29,50,36,50,28,50,33,50,25,100,19,100,28,100,122,150,41,150
CS LEWIS ACADEMY,CS LEWIS ACADEMY,Elem/Middle/Jr High School,255,600,C,98.68%,98.25%,28,50,31,50,16,50,29,50,29,50,31,50,32,100,30,100,29,100,NA,NA,NA,NA
DAVIS DISTRICT,DAVIS HIGH,High School Report,574,900,A,99.94%,100%,33,50,41,50,32,50,49,75,NA,NA,48,75,57,100,53,100,53,100,145,150,63,150
DAGGETT DISTRICT,FLAMING GORGE SCHOOL,High School Report,0,0,,100%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,150,50,150,NA,NA,NA,NA,NA,NA
DAGGETT DISTRICT,MANILA HIGH,High School Report,497,900,B,99.41%,100%,41,50,22,50,34,50,NA,NA,29,75,52,75,49,100,14,100,43,100,150,150,63,150
DAGGETT DISTRICT,MANILA SCHOOL,High School Report,0,0,,100%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,100,30,100,16,100,NA,NA,NA,NA
DAVINCI ACADEMY,DAVINCI ACADEMY,Elem/Middle/Jr High School,228,600,D,98.24%,97.24%,19,50,21,50,25,50,20,50,25,50,26,50,34,100,25,100,33,100,NA,NA,NA,NA
DAVINCI ACADEMY,DAVINCI ACADEMY,High School Report,447,900,C,99.32%,97.94%,28,50,29,50,38,50,27,50,29,50,38,50,42,100,22,100,59,100,100,150,35,150
DAVIS DISTRICT,ADAMS SCHOOL,Elem/Middle/Jr High School,333,600,B,100%,100%,38,50,28,50,36,50,34,50,30,50,34,50,47,100,32,100,54,100,NA,NA,NA,NA
DAVIS DISTRICT,ADELAIDE SCHOOL,Elem/Middle/Jr High School,266,600,C,100%,100%,24,50,28,50,30,50,23,50,29,50,28,50,32,100,32,100,40,100,NA,NA,NA,NA
DAVIS DISTRICT,ANTELOPE SCHOOL,Elem/Middle/Jr High School,324,600,B,99.72%,99.05%,34,50,38,50,28,50,33,50,37,50,27,50,43,100,43,100,41,100,NA,NA,NA,NA
DAVIS DISTRICT,BLUFF RIDGE SCHOOL,Elem/Middle/Jr High School,354,600,B,100%,100%,32,50,25,50,27,50,34,50,36,50,37,50,60,100,48,100,55,100,NA,NA,NA,NA
DAVIS DISTRICT,BOULTON SCHOOL,Elem/Middle/Jr High School,335,600,B,99.87%,100%,33,50,20,50,23,50,39,50,24,50,25,50,61,100,53,100,57,100,NA,NA,NA,NA
DAVIS DISTRICT,BOUNTIFUL HIGH,High School Report,545,900,B,99.46%,97.66%,34,50,39,50,30,50,51,75,NA,NA,48,75,58,100,42,100,51,100,139,150,53,150
DAVIS DISTRICT,BOUNTIFUL JR HIGH,Elem/Middle/Jr High School,303,600,B,100%,100%,24,50,36,50,30,50,25,50,30,50,30,50,35,100,43,100,50,100,NA,NA,NA,NA
DAVIS DISTRICT,BOUNTIFUL SCHOOL,Elem/Middle/Jr High School,299,600,C,100%,100%,29,50,30,50,29,50,29,50,28,50,19,50,50,100,39,100,46,100,NA,NA,NA,NA
DAVIS DISTRICT,BUFFALO POINT SCHOOL,Elem/Middle/Jr High School,316,600,B,100%,100%,32,50,27,50,31,50,30,50,32,50,33,50,46,100,40,100,45,100,NA,NA,NA,NA
DAVIS DISTRICT,CENTENNIAL JR HIGH,Elem/Middle/Jr High School,376,600,B,99.94%,99.56%,28,50,33,50,31,50,35,50,37,50,32,50,55,100,59,100,66,100,NA,NA,NA,NA
DAVIS DISTRICT,CENTERVILLE JR HIGH,Elem/Middle/Jr High School,354,600,B,99.86%,98.98%,33,50,33,50,29,50,29,50,35,50,30,50,60,100,49,100,56,100,NA,NA,NA,NA
DAVIS DISTRICT,CENTERVILLE SCHOOL,Elem/Middle/Jr High School,370,600,B,100%,100%,36,50,27,50,35,50,35,50,29,50,38,50,62,100,53,100,55,100,NA,NA,NA,NA
DAVIS DISTRICT,CENTRAL DAVIS JR HIGH,Elem/Middle/Jr High School,330,600,B,99.38%,98.66%,32,50,34,50,33,50,29,50,35,50,33,50,44,100,44,100,46,100,NA,NA,NA,NA
DAVIS DISTRICT,CLEARFIELD HIGH,High School Report,469,900,B,98.51%,95.97%,31,50,40,50,30,50,41,75,NA,NA,43,75,37,100,36,100,38,100,136,150,37,150
DAVIS DISTRICT,CLINTON SCHOOL,Elem/Middle/Jr High School,254,600,C,99.86%,99.28%,31,50,17,50,25,50,25,50,20,50,33,50,36,100,27,100,40,100,NA,NA,NA,NA
DAVIS DISTRICT,COLUMBIA SCHOOL,Elem/Middle/Jr High School,269,600,C,99.89%,100%,26,50,21,50,19,50,29,50,27,50,20,50,45,100,36,100,46,100,NA,NA,NA,NA
DAVIS DISTRICT,COOK SCHOOL,Elem/Middle/Jr High School,293,600,C,100%,100%,28,50,24,50,29,50,27,50,34,50,31,50,42,100,37,100,41,100,NA,NA,NA,NA
DAVIS DISTRICT,CREEKSIDE SCHOOL,Elem/Middle/Jr High School,302,600,C,99.81%,100%,30,50,28,50,23,50,31,50,28,50,14,50,52,100,44,100,52,100,NA,NA,NA,NA
DAVIS DISTRICT,CRESTVIEW SCHOOL,Elem/Middle/Jr High School,256,600,C,100%,100%,28,50,24,50,30,50,26,50,33,50,32,50,34,100,20,100,29,100,NA,NA,NA,NA
DAVIS DISTRICT,DOXEY SCHOOL,Elem/Middle/Jr High School,261,600,C,100%,100%,24,50,33,50,29,50,24,50,35,50,30,50,25,100,26,100,35,100,NA,NA,NA,NA
DAVIS DISTRICT,EAGLE BAY SCHOOL,Elem/Middle/Jr High School,373,600,B,99.93%,100%,37,50,29,50,25,50,46,50,38,50,20,50,64,100,53,100,61,100,NA,NA,NA,NA
DAVIS DISTRICT,EAST LAYTON SCHOOL,Elem/Middle/Jr High School,354,600,B,99.66%,100%,32,50,32,50,30,50,33,50,31,50,31,50,61,100,54,100,50,100,NA,NA,NA,NA
DAVIS DISTRICT,ELLISON PARK SCHOOL,Elem/Middle/Jr High School,348,600,B,99.85%,100%,36,50,36,50,29,50,36,50,36,50,28,50,52,100,47,100,48,100,NA,NA,NA,NA
DAVIS DISTRICT,ENDEAVOUR SCHOOL,Elem/Middle/Jr High School,457,600,A,99.79%,100%,40,50,42,50,34,50,44,50,42,50,45,50,72,100,72,100,66,100,NA,NA,NA,NA
DAVIS DISTRICT,FAIRFIELD JR HIGH,Elem/Middle/Jr High School,357,600,B,99.97%,99.78%,33,50,36,50,35,50,28,50,34,50,34,50,50,100,50,100,57,100,NA,NA,NA,NA
DAVIS DISTRICT,FARMINGTON JR HIGH,Elem/Middle/Jr High School,381,600,A,99.84%,99.25%,32,50,34,50,31,50,37,50,38,50,36,50,55,100,57,100,61,100,NA,NA,NA,NA
DAVIS DISTRICT,FARMINGTON SCHOOL,Elem/Middle/Jr High School,323,600,B,100%,100%,26,50,28,50,31,50,22,50,39,50,27,50,47,100,40,100,63,100,NA,NA,NA,NA
DAVIS DISTRICT,FOXBORO SCHOOL,Elem/Middle/Jr High School,277,600,C,99.6%,99.54%,27,50,29,50,19,50,31,50,31,50,21,50,38,100,39,100,42,100,NA,NA,NA,NA
DAVIS DISTRICT,FREMONT SCHOOL,Elem/Middle/Jr High School,278,600,C,100%,100%,33,50,24,50,25,50,25,50,22,50,19,50,44,100,41,100,45,100,NA,NA,NA,NA
DAVIS DISTRICT,H C BURTON SCHOOL,Elem/Middle/Jr High School,396,600,A,99.92%,100%,36,50,32,50,38,50,37,50,31,50,35,50,62,100,58,100,67,100,NA,NA,NA,NA
DAVIS DISTRICT,HERITAGE SCHOOL,Elem/Middle/Jr High School,351,600,B,100%,100%,30,50,30,50,29,50,32,50,30,50,31,50,53,100,58,100,58,100,NA,NA,NA,NA
DAVIS DISTRICT,HILL FIELD SCHOOL,Elem/Middle/Jr High School,264,600,C,99.85%,100%,26,50,25,50,35,50,33,50,28,50,26,50,31,100,21,100,39,100,NA,NA,NA,NA
DAVIS DISTRICT,HOLBROOK SCHOOL,Elem/Middle/Jr High School,365,600,B,100%,100%,33,50,31,50,38,50,30,50,34,50,40,50,51,100,46,100,62,100,NA,NA,NA,NA
DAVIS DISTRICT,HOLT SCHOOL,Elem/Middle/Jr High School,214,600,D,100%,100%,20,50,30,50,23,50,19,50,31,50,23,50,19,100,25,100,24,100,NA,NA,NA,NA
DAVIS DISTRICT,KAYSVILLE JR HIGH,Elem/Middle/Jr High School,334,600,B,99.89%,99.66%,28,50,31,50,29,50,31,50,31,50,28,50,48,100,50,100,58,100,NA,NA,NA,NA
DAVIS DISTRICT,KAYSVILLE SCHOOL,Elem/Middle/Jr High School,349,600,B,100%,100%,33,50,30,50,27,50,30,50,32,50,25,50,59,100,54,100,59,100,NA,NA,NA,NA
DAVIS DISTRICT,KING SCHOOL,Elem/Middle/Jr High School,306,600,B,99.19%,99.49%,34,50,27,50,35,50,31,50,27,50,34,50,40,100,33,100,45,100,NA,NA,NA,NA
DAVIS DISTRICT,KNOWLTON SCHOOL,Elem/Middle/Jr High School,358,600,B,99.91%,100%,33,50,30,50,35,50,29,50,27,50,29,50,57,100,56,100,62,100,NA,NA,NA,NA
DAVIS DISTRICT,LAKESIDE SCHOOL,Elem/Middle/Jr High School,388,600,A,100%,100%,32,50,33,50,35,50,31,50,36,50,36,50,57,100,61,100,67,100,NA,NA,NA,NA
DAVIS DISTRICT,LAYTON HIGH,High School Report,461,900,B,98.81%,97.04%,28,50,32,50,30,50,36,75,NA,NA,48,75,41,100,32,100,36,100,136,150,42,150
DAVIS DISTRICT,LAYTON SCHOOL,Elem/Middle/Jr High School,340,600,B,99.9%,100%,31,50,37,50,30,50,31,50,43,50,33,50,41,100,47,100,47,100,NA,NA,NA,NA
DAVIS DISTRICT,LEGACY JR HIGH,Elem/Middle/Jr High School,276,600,C,99.51%,99.09%,29,50,28,50,19,50,30,50,30,50,21,50,44,100,41,100,34,100,NA,NA,NA,NA
DAVIS DISTRICT,LINCOLN SCHOOL,Elem/Middle/Jr High School,297,600,C,100%,100%,31,50,32,50,34,50,34,50,35,50,37,50,30,100,31,100,33,100,NA,NA,NA,NA
DAVIS DISTRICT,MEADOWBROOK SCHOOL,Elem/Middle/Jr High School,293,600,C,99.64%,98.98%,26,50,29,50,26,50,24,50,28,50,30,50,46,100,44,100,40,100,NA,NA,NA,NA
DAVIS DISTRICT,MILLCREEK JR HIGH,Elem/Middle/Jr High School,382,600,A,100%,100%,39,50,34,50,31,50,37,50,35,50,32,50,65,100,50,100,59,100,NA,NA,NA,NA
DAVIS DISTRICT,MORGAN SCHOOL,Elem/Middle/Jr High School,360,600,B,100%,100%,33,50,29,50,33,50,36,50,17,50,33,50,62,100,57,100,60,100,NA,NA,NA,NA
DAVIS DISTRICT,MOUNTAIN VIEW SCHOOL,Elem/Middle/Jr High School,387,600,A,100%,100%,35,50,33,50,36,50,35,50,30,50,41,50,57,100,58,100,62,100,NA,NA,NA,NA
DAVIS DISTRICT,MUELLER PARK JR HIGH,Elem/Middle/Jr High School,342,600,B,100%,100%,34,50,26,50,36,50,38,50,27,50,36,50,50,100,38,100,57,100,NA,NA,NA,NA
DAVIS DISTRICT,MUIR SCHOOL,Elem/Middle/Jr High School,353,600,B,100%,100%,31,50,31,50,33,50,31,50,26,50,39,50,52,100,51,100,59,100,NA,NA,NA,NA
DAVIS DISTRICT,NORTH DAVIS JR HIGH,Elem/Middle/Jr High School,256,600,C,99.97%,99.88%,27,50,30,50,29,50,26,50,33,50,32,50,27,100,23,100,29,100,NA,NA,NA,NA
DAVIS DISTRICT,NORTH LAYTON JR HIGH,Elem/Middle/Jr High School,312,600,B,99.47%,98.99%,27,50,33,50,34,50,30,50,34,50,38,50,34,100,34,100,48,100,NA,NA,NA,NA
DAVIS DISTRICT,NORTHRIDGE HIGH,High School Report,527,900,B,98.88%,98.18%,31,50,42,50,35,50,44,75,NA,NA,56,75,44,100,49,100,49,100,134,150,43,150
DAVIS DISTRICT,OAK HILLS SCHOOL,Elem/Middle/Jr High School,391,600,A,99.71%,100%,38,50,33,50,38,50,46,75,38,75,NA,NA,65,100,62,100,71,100,NA,NA,NA,NA
DAVIS DISTRICT,ORCHARD SCHOOL,Elem/Middle/Jr High School,360,600,B,100%,100%,33,50,30,50,34,50,35,50,30,50,31,50,58,100,51,100,58,100,NA,NA,NA,NA
DAVIS DISTRICT,PARKSIDE SCHOOL,Elem/Middle/Jr High School,320,600,B,100%,100%,34,50,32,50,27,50,38,50,32,50,30,50,41,100,36,100,50,100,NA,NA,NA,NA
DAVIS DISTRICT,READING SCHOOL,Elem/Middle/Jr High School,332,600,B,99.69%,97.94%,30,50,24,50,32,50,28,50,28,50,28,50,58,100,45,100,59,100,NA,NA,NA,NA
DAVIS DISTRICT,SAND SPRINGS SCHOOL,Elem/Middle/Jr High School,380,600,B,99.72%,100%,35,50,28,50,42,50,35,50,33,50,43,50,59,100,48,100,57,100,NA,NA,NA,NA
DAVIS DISTRICT,SNOW HORSE SCHOOL,Elem/Middle/Jr High School,385,600,A,100%,100%,38,50,30,50,32,50,31,50,31,50,25,50,66,100,61,100,71,100,NA,NA,NA,NA
DAVIS DISTRICT,SOUTH CLEARFIELD SCHOOL,Elem/Middle/Jr High School,258,600,C,99.75%,100%,25,50,26,50,30,50,23,50,28,50,30,50,33,100,29,100,34,100,NA,NA,NA,NA
DAVIS DISTRICT,SOUTH DAVIS JR HIGH,Elem/Middle/Jr High School,324,600,B,99.72%,99.26%,29,50,34,50,30,50,32,50,33,50,32,50,45,100,42,100,47,100,NA,NA,NA,NA
DAVIS DISTRICT,SOUTH WEBER SCHOOL,Elem/Middle/Jr High School,325,600,B,100%,100%,30,50,29,50,34,50,21,50,30,50,33,50,50,100,45,100,53,100,NA,NA,NA,NA
DAVIS DISTRICT,STEWART SCHOOL,Elem/Middle/Jr High School,358,600,B,100%,100%,33,50,24,50,35,50,39,50,27,50,41,50,57,100,47,100,55,100,NA,NA,NA,NA
DAVIS DISTRICT,SUNSET JR HIGH,Elem/Middle/Jr High School,282,600,C,99.77%,99.68%,29,50,28,50,29,50,30,50,28,50,28,50,37,100,33,100,40,100,NA,NA,NA,NA
DAVIS DISTRICT,SUNSET SCHOOL,Elem/Middle/Jr High School,311,600,B,100%,100%,35,50,34,50,34,50,33,50,33,50,30,50,41,100,37,100,34,100,NA,NA,NA,NA
DAVIS DISTRICT,SYRACUSE HIGH,High School Report,465,900,B,99.87%,100%,26,50,30,50,32,50,31,50,30,50,37,50,33,100,29,100,41,100,139,150,37,150
DAVIS DISTRICT,SYRACUSE JR HIGH,Elem/Middle/Jr High School,328,600,B,100%,100%,29,50,29,50,37,50,29,50,28,50,36,50,44,100,41,100,55,100,NA,NA,NA,NA
DAVIS DISTRICT,SYRACUSE SCHOOL,Elem/Middle/Jr High School,295,600,C,100%,100%,28,50,26,50,28,50,25,50,31,50,24,50,45,100,41,100,47,100,NA,NA,NA,NA
DAVIS DISTRICT,TAYLOR SCHOOL,Elem/Middle/Jr High School,403,600,A,100%,100%,41,50,37,50,39,50,38,50,35,50,35,50,63,100,60,100,55,100,NA,NA,NA,NA
DAVIS DISTRICT,TOLMAN SCHOOL,Elem/Middle/Jr High School,309,600,B,100%,100%,28,50,33,50,33,50,24,50,31,50,32,50,47,100,39,100,42,100,NA,NA,NA,NA
DAVIS DISTRICT,VAE VIEW SCHOOL,Elem/Middle/Jr High School,191,600,D,100%,100%,24,50,23,50,25,50,24,50,25,50,24,50,16,100,18,100,12,100,NA,NA,NA,NA
DAVIS DISTRICT,VALLEY VIEW SCHOOL,Elem/Middle/Jr High School,407,600,A,100%,100%,39,50,35,50,29,50,28,50,44,50,17,50,77,100,66,100,72,100,NA,NA,NA,NA
DAVIS DISTRICT,VIEWMONT HIGH,High School Report,576,900,A,99.53%,100%,33,50,38,50,38,50,44,75,NA,NA,58,75,56,100,56,100,57,100,143,150,53,150
DAVIS DISTRICT,WASATCH SCHOOL,Elem/Middle/Jr High School,311,600,B,100%,100%,32,50,34,50,30,50,31,50,34,50,31,50,36,100,39,100,44,100,NA,NA,NA,NA
DAVIS DISTRICT,WASHINGTON SCHOOL,Elem/Middle/Jr High School,291,600,C,100%,100%,34,50,30,50,21,50,29,50,37,50,24,50,41,100,37,100,38,100,NA,NA,NA,NA
DAVIS DISTRICT,WEST BOUNTIFUL SCHOOL,Elem/Middle/Jr High School,316,600,B,100%,100%,28,50,34,50,32,50,31,50,31,50,31,50,39,100,41,100,49,100,NA,NA,NA,NA
DAVIS DISTRICT,WEST CLINTON SCHOOL,Elem/Middle/Jr High School,266,600,C,99.92%,99.38%,28,50,27,50,20,50,24,50,27,50,15,50,42,100,40,100,43,100,NA,NA,NA,NA
DAVIS DISTRICT,WEST POINT JR HIGH,Elem/Middle/Jr High School,323,600,B,99.89%,99.51%,28,50,34,50,31,50,31,50,37,50,34,50,36,100,44,100,48,100,NA,NA,NA,NA
DAVIS DISTRICT,WEST POINT SCHOOL,Elem/Middle/Jr High School,349,600,B,99.92%,100%,35,50,32,50,33,50,38,50,35,50,40,50,47,100,42,100,47,100,NA,NA,NA,NA
DAVIS DISTRICT,WHITESIDES SCHOOL,Elem/Middle/Jr High School,316,600,B,99.83%,100%,36,50,33,50,27,50,37,50,36,50,28,50,35,100,37,100,47,100,NA,NA,NA,NA
DAVIS DISTRICT,WINDRIDGE SCHOOL,Elem/Middle/Jr High School,395,600,A,100%,100%,34,50,33,50,35,50,39,50,43,50,30,50,57,100,60,100,64,100,NA,NA,NA,NA
DAVIS DISTRICT,WOODS CROSS HIGH,High School Report,526,900,B,99.41%,99.52%,26,50,40,50,36,50,25,50,33,50,33,50,44,100,46,100,53,100,136,150,54,150
DAVIS DISTRICT,WOODS CROSS SCHOOL,Elem/Middle/Jr High School,299,600,C,100%,100%,30,50,28,50,34,50,29,50,28,50,36,50,40,100,35,100,39,100,NA,NA,NA,NA
DUAL IMMERSION ACADEMY,DUAL IMMERSION ACADEMY,Elem/Middle/Jr High School,221,600,D,99.6%,100%,28,50,25,50,32,50,29,50,28,50,30,50,16,100,17,100,16,100,NA,NA,NA,NA
DUCHESNE DISTRICT,ALTAMONT HIGH,High School Report,359,900,D,99.69%,100%,22,50,25,50,14,50,28,50,26,50,14,50,26,100,16,100,23,100,141,150,24,150
DUCHESNE DISTRICT,ALTAMONT SCHOOL,Elem/Middle/Jr High School,231,600,C,100%,100%,20,50,26,50,18,50,15,50,20,50,16,50,37,100,39,100,40,100,NA,NA,NA,NA
DUCHESNE DISTRICT,CON AMORE SCHOOL,Elem/Middle/Jr High School,291,600,C,100%,100%,17,50,22,50,23,50,NA,NA,54,150,NA,NA,52,100,48,100,75,100,NA,NA,NA,NA
DUCHESNE DISTRICT,DUCHESNE HIGH,High School Report,403,900,C,98.86%,98.52%,26,50,23,50,32,50,24,50,25,50,27,50,26,100,19,100,34,100,147,150,20,150
DUCHESNE DISTRICT,DUCHESNE SCHOOL,Elem/Middle/Jr High School,220,600,D,100%,100%,25,50,28,50,19,50,29,50,27,50,18,50,24,100,25,100,25,100,NA,NA,NA,NA
DUCHESNE DISTRICT,KINGS PEAK SCHOOL,Elem/Middle/Jr High School,219,600,D,99.94%,100%,17,50,21,50,29,50,18,50,15,50,30,50,29,100,30,100,30,100,NA,NA,NA,NA
DUCHESNE DISTRICT,MYTON SCHOOL,Elem/Middle/Jr High School,162,600,F,100%,100%,24,50,21,50,21,50,NA,NA,23,75,22,75,26,100,18,100,7,100,NA,NA,NA,NA
DUCHESNE DISTRICT,NEOLA SCHOOL,Elem/Middle/Jr High School,216,600,D,100%,100%,24,50,25,50,29,50,NA,NA,18,75,38,75,30,100,26,100,26,100,NA,NA,NA,NA
DUCHESNE DISTRICT,ROOSEVELT JR HIGH,Elem/Middle/Jr High School,222,600,D,100%,100%,21,50,23,50,28,50,21,50,15,50,27,50,29,100,25,100,33,100,NA,NA,NA,NA
DUCHESNE DISTRICT,TABIONA HIGH,High School Report,0,0,,96.61%,95.45%,17,50,18,50,22,50,NA,NA,NA,NA,56,150,21,100,24,100,18,100,NA,NA,NA,NA
DUCHESNE DISTRICT,TABIONA SCHOOL,Elem/Middle/Jr High School,184,600,D,100%,100%,38,100,38,100,60,100,NA,NA,NA,NA,NA,NA,15,100,23,100,10,100,NA,NA,NA,NA
DUCHESNE DISTRICT,THOMPSEN HIGH,High School Report,0,0,,98.18%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,150,NA,NA
DUCHESNE DISTRICT,UNION HIGH,High School Report,339,900,F,99.45%,98.79%,25,50,28,50,17,50,26,50,19,50,12,50,21,100,17,100,23,100,122,150,29,150
