District,School,School Type,Overall Points,Overall Possible,Grade,All Students Participation,Below Proficient Participation,Growth ELA All Students,Growth ELA All Students Possible,Growth Math All Students,Growth Math All Students Possible,Growth Science All Students,Growth Science All Students Possible,Growth ELA Below Proficient,Growth ELA Below Proficient Possible,Growth Math Below Proficient,Growth Math Below Proficient Possible,Growth Science Below Proficient,Growth Science Below Proficient Possible,ELA Proficient,ELA Proficient Possible,Math Proficient,Math Proficient Possible,Science Proficient,Science Proficient Possible,College Career Readiness GRAD,College Career Readiness GRAD Possible,Number of Students Meeting All Four CCR Benchmarks ACT,College Career Readiness ACT Possible
ALPINE DISTRICT,WESTLAKE HIGH,High School Report,493,900,C,96.09%,94.14%,33,50,27,50,33,50,42,75,NA,NA,47,75,51,100,29,100,55,100,134,150,42,150
ALPINE DISTRICT,WESTMORE SCHOOL,Elem/Middle/Jr High School,345,600,B,100%,100%,36,50,36,50,37,50,24,50,30,50,37,50,48,100,45,100,52,100,NA,NA,NA,NA
ALPINE DISTRICT,WILLOWCREEK MIDDLE,Elem/Middle/Jr High School,300,600,C,99.84%,99.05%,26,50,30,50,29,50,24,50,30,50,26,50,39,100,44,100,52,100,NA,NA,NA,NA
ALPINE DISTRICT,WINDSOR SCHOOL,Elem/Middle/Jr High School,285,600,C,99.87%,99.26%,28,50,28,50,37,50,25,50,18,50,35,50,37,100,35,100,42,100,NA,NA,NA,NA
AMERICAN LEADERSHIP ACADEMY,AMERICAN LEADERSHIP ACADEMY,Elem/Middle/Jr High School,258,600,C,99.66%,99.16%,23,50,28,50,24,50,22,50,26,50,24,50,36,100,40,100,35,100,NA,NA,NA,NA
AMERICAN LEADERSHIP ACADEMY,AMERICAN LEADERSHIP ACADEMY,High School Report,438,900,C,99.49%,99.4%,29,50,34,50,36,50,20,50,28,50,32,50,34,100,28,100,37,100,116,150,44,150
AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY,Elem/Middle/Jr High School,287,600,C,100%,100%,34,50,27,50,22,50,40,50,17,50,28,50,40,100,39,100,40,100,NA,NA,NA,NA
AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,Elem/Middle/Jr High School,255,600,C,100%,100%,31,50,32,50,27,50,33,50,35,50,26,50,24,100,24,100,23,100,NA,NA,NA,NA
AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,High School Report,0,0,,98.96%,97.55%,29,50,38,50,29,50,54,75,NA,NA,39,75,20,100,37,100,22,100,NA,NA,NA,NA
AMERICAN PREPARATORY ACADEMY,AMERICAN PREPARATORY ACADEMY - DRAPER #2,Elem/Middle/Jr High School,371,600,B,100%,100%,37,50,34,50,31,50,33,50,37,50,33,50,60,100,56,100,50,100,NA,NA,NA,NA
